,company,job_title,salary,location,description,date
7,"

        Lancaster University",Research Associate,"
                            £28,331 - £32,817 a year",Lancaster,"
 Data will be largely quantitative, with some additional qualitative work.It will largely involve assisting in negotiating access to sites, participating in the…",2 days ago
8,"

        McLaren",Customer Retention Specialist,Nothing_found,Woking,"
 This will include data sourcing, analysis and presentation of the information requiring high levels of accuracy and clarity.High level of customer orientation.",6 months ago
9,"
        Curo Talent",Big Data Architect (GCP) job,"
                            £100,000 - £120,000 a year",London,"
 Big Data Architect (GCP) job.Drive deployment and increase the consumption of solutions related to cloud data and analytics services, including SQL Database,…",21 days ago
10,"
        Scholars School System",Front Desk and Data Base Admin,Nothing_found,Manchester,"
 Prepare reports and presentations with statistical data, as assigned.Maintain and update company databases.Answer queries by employees and clients.",12 days ago
11,"
        GoTeq Solutions",Data Installation Engineer,"
                            £20 an hour",Coventry,"
 We are currently looking for Data Installation Engineers to work on site for around 1 month fitting Cat 6 cables.Click here to submit your CV and apply online.",30+ days ago
12,"

        Schroders",2020 Product Graduate Programme,Nothing_found,London,"
 Market Intelligence - This team has the aim of providing stronger data connectivity between Schroders and the market.Online application form and CV.",2 days ago
13,"
        Meridian Cost Benefit ltd T/A Recovery Audit",Data Analyst,"
                            £16,000 - £20,000 a year",St Albans AL4,"
 Working with large data sets and be able to analyse and interpret data.Reviewing contracts looking for anomalies against the data.Are you good with numbers?",30+ days ago
14,"

        Citizens Advice",Data Administrator (Witness Service),"
                            £19,938 a year",London EC1A,"
 We're looking to recruit an excellent data administrator to join our data team.We need someone who can use their initiative and who understands the processes…",30+ days ago
15,"

        Refinitiv",Policy Analyst - Data & Technology Policy Governance,Nothing_found,London,"
 Proficiency with data analysis tools & techniques.Implement the tools & capabilities to conduct in-depth analysis of data from disparate sources.",6 days ago
16,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
 During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
17,"
        Kubrick Group",Data Transformation Evangelist,Nothing_found,Nothing_found,"
 Training and developing the next generation of Kubrick Data Specialists.Many years of solid experience in data transformation roles (specified above).",Nothing_found
0,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
1,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
 Identifies data sources, collects, transforms and prepares large amounts of data for analysis.Monitors and continuously improves the data sources, usability…",Nothing_found
2,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
3,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
4,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
